confesses confess
flirts flirt
goes go
has have
attempts attempt
enjoys enjoy
reminisces reminsce
stabs stab
jumps jump
embarks embark
contemplates contemplate
is are
falls fall
gains gain
wakes wake
catches catch
gets get
doesn't don't
does do
starts start
finds find
pilots pilot
sees see
revives revive
breaks break
uncovers uncover
struggles struggle
meets meet
dies die
travels travel
sacrifices sacrifice
leads lead
slips slip
avoids avoid
dances dance
flips flip
fails fail
kicks kick
lives live
defeats defeat
commits commit
